request_id,lease_id,status,logged_by,ticket_number,log_date,problem,urgency,category,created_at,updated_at,deleted_at,image_path,assigned_to,expected_completion_date
1,1,Completed,Marcus Manager,TICKET-000001,2021-01-06,Leaking faucet,Level 2,Plumbing,2021-01-06 00:00:00,2021-01-06 00:00:00,,,,
2,1,Completed,King Bruen,TICKET-000002,2021-01-15,General pest treatment,Level 3,Pest Control,2021-01-15 00:00:00,2021-01-15 00:00:00,,,,
3,13,Completed,King Bruen,TICKET-000003,2021-01-12,Wall crack,Level 2,Structural,2021-01-12 00:00:00,2021-01-12 00:00:00,,,,
4,21,Completed,Clark West,TICKET-000004,2021-01-07,Door not closing,Level 2,Structural,2021-01-07 00:00:00,2021-01-07 00:00:00,,,,
5,18,Completed,Marcus Manager,TICKET-000005,2021-01-10,General pest treatment,Level 2,Pest Control,2021-01-10 00:00:00,2021-01-10 00:00:00,,,,
6,37,Completed,Mia Martinez,TICKET-000006,2021-01-05,Clogged drain,Level 1,Plumbing,2021-01-05 00:00:00,2021-01-05 00:00:00,,,,
7,43,Completed,King Bruen,TICKET-000007,2021-01-18,Light fixture malfunction,Level 3,Electrical,2021-01-18 00:00:00,2021-01-18 00:00:00,,,,
8,43,Completed,Marcus Manager,TICKET-000008,2021-01-18,Mosquito problem,Level 4,Pest Control,2021-01-18 00:00:00,2021-01-18 00:00:00,,,,
9,79,Completed,Clark West,TICKET-000009,2021-01-05,General pest treatment,Level 3,Pest Control,2021-01-05 00:00:00,2021-01-05 00:00:00,,,,
10,112,Completed,Marcus Manager,TICKET-000010,2021-01-27,Wiring problem,Level 1,Electrical,2021-01-27 00:00:00,2021-01-27 00:00:00,,,,
11,83,Completed,Bernita Crona,TICKET-000011,2021-01-27,Ceiling crack,Level 3,Structural,2021-01-27 00:00:00,2021-01-27 00:00:00,,,,
12,84,Completed,Clark West,TICKET-000012,2021-01-24,Sink drainage issue,Level 3,Plumbing,2021-01-24 00:00:00,2021-01-24 00:00:00,,,,
13,87,Completed,Bernita Crona,TICKET-000013,2021-01-06,AC remote issue,Level 2,Appliance,2021-01-06 00:00:00,2021-01-06 00:00:00,,,,
14,87,Completed,King Bruen,TICKET-000014,2021-01-11,Light fixture malfunction,Level 3,Electrical,2021-01-11 00:00:00,2021-01-11 00:00:00,,,,
15,95,Completed,King Bruen,TICKET-000015,2021-01-10,Exhaust fan noise,Level 3,Appliance,2021-01-10 00:00:00,2021-01-10 00:00:00,,,,
16,127,Completed,Bernita Crona,TICKET-000016,2021-01-08,Low water pressure,Level 1,Plumbing,2021-01-08 00:00:00,2021-01-08 00:00:00,,,,
