user_id,first_name,last_name,email,email_verified_at,contact,phone_verified_at,password,profile_img,role,remember_token,created_at,updated_at,deleted_at,two_factor_secret,two_factor_recovery_codes,two_factor_confirmed_at,gender,permanent_address,government_id_type,government_id_number,company_school,position_course,emergency_contact_name,emergency_contact_relationship,emergency_contact_number,government_id_image,terms_accepted_at,rental_eligibility,eligibility_notes,eligibility_changed_at,eligibility_changed_by,permanent_province_id,permanent_city_id,permanent_barangay_id,permanent_street
2,Tanya,Torres,tenant2@example.com,2026-05-07 21:25:27,9555040984,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=garrett.friesen.993@example.com,tenant,LrcAtGqGsO,2026-05-07 21:25:27,2026-05-07 21:25:27,,,,,Female,"15768 Cleta Glen St., Calongcalong, City of Toledo, Cebu",Passport,P-987654321,"Dach, Gislason and Farrell",Special Force,Teresa Wunsch,Guardian,9260489803,government-ids/sample-id-tanya.jpg,,eligible,,,,40,909,23898,15768 Cleta Glen St.
4,Mia,Martinez,manager2@example.com,2026-05-07 21:25:28,9397547775,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=jaida.schaden.843@example.com,manager,u2QxnB60Du,2026-05-07 21:25:28,2026-05-07 21:25:28,,,,,Male,"73266 Lindgren Square St., Look 2nd, City of Malolos, Bulacan",UMID,CRN-0012-3456789,Senger Inc,Physician,Lionel Wisozk,Friend,9158891659,government-ids/sample-id-mia.jpg,,eligible,,,,11,240,6007,73266 Lindgren Square St.
6,Zelma,Yundt,zelma.yundt.762@example.com,2026-05-07 21:25:29,9292565341,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=zelma.yundt.762@example.com,tenant,pXG45pQP7r,2026-05-07 21:25:29,2026-05-07 21:25:29,,,,,Female,"49561 Quigley Manor St., Romualdez, Dulag, Leyte",National ID,PSN-20241234567,Vandervort PLC,Elementary School Teacher,Eloisa Hegmann,Spouse,9824339543,government-ids/sample-id-tricia.jpg,,eligible,,,,44,978,25899,49561 Quigley Manor St.
7,Amira,McKenzie,amira.mckenzie.143@example.com,2026-05-07 21:25:30,9607610745,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=amira.mckenzie.143@example.com,tenant,CpBTRiiJMh,2026-05-07 21:25:30,2026-05-07 21:25:30,,,,,Female,"9711 Gusikowski Burgs St., Barangay XVII, City of Victorias, Negros Occidental",National ID,PSN-20241234567,"Kemmer, Mueller and Streich",Washing Equipment Operator,Prof. Micaela Blick,Sibling,9558627494,government-ids/sample-id-tricia.jpg,,eligible,,,,37,804,21569,9711 Gusikowski Burgs St.
8,Nelson,Gerlach,nelson.gerlach.926@example.com,2026-05-07 21:25:30,9455849340,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=nelson.gerlach.926@example.com,tenant,y2bFtuY6CI,2026-05-07 21:25:30,2026-05-07 21:25:30,,,,,Male,"44724 Sawayn Tunnel St., Butucan, Nasugbu, Batangas",Driver's License,N01-12-345678,Beier PLC,Precision Pattern and Die Caster,Rod Bahringer,Parent,9272859250,government-ids/sample-id-marcus.jpg,,eligible,,,,17,367,9306,44724 Sawayn Tunnel St.
9,Iva,Nicolas,iva.nicolas.800@example.com,2026-05-07 21:25:30,9651576981,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=iva.nicolas.800@example.com,tenant,EFauDIcvVm,2026-05-07 21:25:30,2026-05-07 21:25:30,,,,,Female,"5250 Denesik Spur St., Barangay 236, Manila, Metro Manila",National ID,PSN-20241234567,"Cruickshank, Moore and McClure",Airline Pilot OR Copilot OR Flight Engineer,Angeline Rath PhD,Guardian,9294222197,government-ids/sample-id-tricia.jpg,,eligible,,,,85,1349,35485,5250 Denesik Spur St.
10,Otis,Schulist,otis.schulist.732@example.com,2026-05-07 21:25:31,9056949648,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=otis.schulist.732@example.com,tenant,ZgESmbe7Sx,2026-05-07 21:25:31,2026-05-07 21:25:31,,,,,Female,"3470 Hickle Bridge St., Aguado, City of Trece Martires, Cavite",UMID,CRN-0012-3456789,Zulauf and Sons,Data Entry Operator,Bryce Murazik,Spouse,9542436148,government-ids/sample-id-mia.jpg,,eligible,,,,18,404,10556,3470 Hickle Bridge St.
11,Maya,Shields,maya.shields.521@example.com,2026-05-07 21:25:31,9236305973,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=maya.shields.521@example.com,tenant,sxt36Mncfh,2026-05-07 21:25:31,2026-05-07 21:25:31,,,,,Female,"90825 Rau Lane St., Catadman-Manabay, City of Ozamiz, Misamis Occidental",Driver's License,N01-12-345678,Hessel-Schaden,Dishwasher,Prof. Alden Brown V,Sibling,9234127829,government-ids/sample-id-marcus.jpg,,eligible,,,,55,1217,32265,90825 Rau Lane St.
12,Arely,Ledner,arely.ledner.574@example.com,2026-05-07 21:25:32,9738913032,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=arely.ledner.574@example.com,tenant,I5Kp0Kv5g7,2026-05-07 21:25:32,2026-05-07 21:25:32,,,,,Male,"2386 Aditya Circles St., Anibong, Magallanes, Sorsogon",Passport,EB-1234567,"Aufderhar, Koss and Mueller",Insurance Policy Processing Clerk,Johann Jacobi,Friend,9762283652,government-ids/sample-id-liam.jpg,,eligible,,,,32,672,17409,2386 Aditya Circles St.
13,Mathew,Zulauf,mathew.zulauf.866@example.com,2026-05-07 21:25:32,9493123528,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=mathew.zulauf.866@example.com,tenant,juvOiFLS2B,2026-05-07 21:25:32,2026-05-07 21:25:32,,,,,Male,"4885 Sporer Canyon St., Barangay 117, Manila, Metro Manila",UMID,CRN-0012-3456789,"O'Reilly, Gusikowski and Keeling",Door To Door Sales,Tod Heidenreich,Spouse,9932762143,government-ids/sample-id-mia.jpg,,eligible,,,,85,1349,35365,4885 Sporer Canyon St.
14,Lauriane,Gleason,lauriane.gleason.546@example.com,2026-05-07 21:25:33,9426950386,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=lauriane.gleason.546@example.com,tenant,fk7Mj9kb4H,2026-05-07 21:25:33,2026-05-07 21:25:33,,,,,Male,"3901 Johnny Shoal St., Mona, City of Alaminos, Pangasinan",National ID,PSN-20241234567,O'Conner-Graham,Automotive Master Mechanic,Dr. Maye Rowe,Sibling,9613828690,government-ids/sample-id-tricia.jpg,,eligible,,,,4,80,1954,3901 Johnny Shoal St.
15,Cleveland,Smitham,cleveland.smitham.682@example.com,2026-05-07 21:25:33,9692394046,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=cleveland.smitham.682@example.com,tenant,sO8jDsv0C9,2026-05-07 21:25:33,2026-05-07 21:25:33,,,,,Male,"87803 Green Flat St., San Pedro Apartado, Alcala, Pangasinan",Passport,EB-1234567,Predovic and Sons,Geologist,Dock Haley,Friend,9926909180,government-ids/sample-id-liam.jpg,,eligible,,,,4,81,1993,87803 Green Flat St.
1,Tricia,Tenant,tenant@example.com,2026-05-07 21:25:27,9467879769,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=marian.swift.460@example.com,tenant,MrqNezeKQckJezDgLRjD4h59h3fQC5O1U97ATCVqwId2Edx0uPbB4pS9Enfh,2026-05-07 21:25:27,2026-05-07 22:43:41,,,,,Female,"25544 Wuckert Corners St., Potong, Lapinig, Northern Samar",National ID,PSN-20241234567,Schultz-Cassin,Nursing Aide,Otilia Volkman,Sibling,9590984513,government-ids/sample-id-tricia.jpg,2026-05-07 22:43:41,eligible,,,,45,1017,27178,25544 Wuckert Corners St.
5,Liam,Landlord,landlord@example.com,2026-05-07 21:25:29,9152037114,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=bud.quigley.531@example.com,landlord,FPwlRdkY4DtWtbKldPumAZCIMcqthOI2ZAy2h2GJ5hJJHcYTXohmnqmX86zI,2026-05-07 21:25:29,2026-05-07 21:25:29,,,,,Male,"19288 Armstrong Shoal St., Barangay 57, Pasay, Metro Manila",Passport,EB-1234567,ABC COMPANY,Patrol Officer,Ms. Aimee Grant,Guardian,9148875021,government-ids/sample-id-liam.jpg,,eligible,,,,85,1354,42467,19288 Armstrong Shoal St.
16,Jacky,Lowe,jacky.lowe.946@example.com,2026-05-07 21:25:34,9030072412,,$2y$12$Ptx3tOrv3SL/WeGWK26UEeAZ/6GnIAD5H43Ntk8BGDPWJiTUf9JK.,https://i.pravatar.cc/150?u=jacky.lowe.946@example.com,tenant,VbyiKVVOmD,2026-05-07 21:25:34,2026-05-07 21:25:34,,,,,Male,"5890 Kamryn Ville St., Napo, Aurora, Zamboanga Del Sur",National ID,PSN-20241234567,Terry-Kozey,Religious Worker,Emely Beer,Spouse,9786355850,government-ids/sample-id-tricia.jpg,,eligible,,,,50,1113,29799,5890 Kamryn Ville St.
